,DateTime,players,viewers,event,%chg_players,%chg_viewers,title
202,2015-07-22,794089,46924,No,0.04994202166551864,-0.021846076878178966,DOTA 2
203,2015-07-23,807766,55952,No,0.017223510211072046,0.19239621515642313,DOTA 2
204,2015-07-24,804324,51277,No,-0.004261135031680019,-0.08355376036602802,DOTA 2
205,2015-07-25,831185,38703,No,0.0333957459929084,-0.24521715388965815,DOTA 2
206,2015-07-26,836977,341784,No,0.006968364443535435,7.830943337725758,DOTA 2
207,2015-07-27,819270,461644,No,-0.02115589795179562,0.35068932425157406,DOTA 2
208,2015-07-28,857715,400357,No,0.046925921857263075,-0.13275814263805008,DOTA 2
209,2015-07-29,772649,398874,No,-0.09917746570830632,-0.003704194006848849,DOTA 2
210,2015-07-30,862533,324766,No,0.1163322543612948,-0.18579300731559345,DOTA 2
211,2015-07-31,877264,146257,No,0.01707876684138454,-0.549654212571513,DOTA 2
212,2015-08-01,888922,31051,No,0.013289044118988125,-0.7876956316620742,DOTA 2
213,2015-08-02,869897,34630,No,-0.021402327763290763,0.11526198834176027,DOTA 2
214,2015-08-03,849227,491849,No,-0.023761433824924127,13.20297429974011,DOTA 2
215,2015-08-04,867682,386041,No,0.021731527612758317,-0.21512293407122918,DOTA 2
216,2015-08-05,881341,466955,No,0.01574194232449222,0.20959949849886406,DOTA 2
217,2015-08-06,892250,522537,No,0.012377728938061328,0.11903074172029426,DOTA 2
218,2015-08-07,905992,482442,No,0.015401513028859615,-0.07673140849356119,DOTA 2
219,2015-08-08,929855,558671,No,0.026339084671829438,0.15800655830130883,DOTA 2
220,2015-08-09,933942,545813,No,0.0043953089460184724,-0.023015334606593107,DOTA 2
221,2015-08-10,903742,40120,No,-0.03233605512976179,-0.926494971721084,DOTA 2
222,2015-08-11,891526,38488,No,-0.013517132101860896,-0.04067796610169494,DOTA 2
223,2015-08-12,871844,42142,No,-0.022076753790691517,0.09493868218665558,DOTA 2
224,2015-08-13,843077,43350,No,-0.03299558177839157,0.02866498979640264,DOTA 2
225,2015-08-14,882479,48972,No,0.046735944640881044,0.12968858131487893,DOTA 2
226,2015-08-15,912167,64358,No,0.03364159373764131,0.3141795311606632,DOTA 2
227,2015-08-16,913025,54404,No,0.000940617233467167,-0.15466608657820313,DOTA 2
228,2015-08-17,871136,54634,No,-0.04587935708222668,0.004227630321299802,DOTA 2
229,2015-08-18,887483,77567,No,0.018765152628292148,0.4197569279203426,DOTA 2
230,2015-08-19,865650,75803,No,-0.0246010346113672,-0.0227416298168035,DOTA 2
231,2015-08-20,859559,63779,No,-0.007036331080690794,-0.15862169043441554,DOTA 2
232,2015-08-21,883124,56987,No,0.027415221061032558,-0.10649273271766568,DOTA 2
233,2015-08-22,914821,43790,No,0.03589190192996683,-0.2315791320827557,DOTA 2
234,2015-08-23,898915,50815,No,-0.017387007950189215,0.16042475451016203,DOTA 2
235,2015-08-24,875519,53133,No,-0.026026932468587116,0.04561645183508811,DOTA 2
236,2015-08-25,871290,56393,No,-0.004830277812360451,0.061355466470931486,DOTA 2
237,2015-08-26,869550,52667,No,-0.001997038873394641,-0.0660720302165162,DOTA 2
238,2015-08-27,878261,59405,No,0.010017825311942952,0.1279358991398789,DOTA 2
239,2015-08-28,904806,57879,No,0.03022450046170788,-0.025688073394495414,DOTA 2
240,2015-08-29,928196,54183,No,0.025850845374588483,-0.0638573575908361,DOTA 2
241,2015-08-30,929404,48978,No,0.0013014492628711238,-0.09606334090028235,DOTA 2
242,2015-08-31,866614,66829,No,-0.06755942518000779,0.36446976193392944,DOTA 2
243,2015-09-01,848618,76693,No,-0.020765877311005876,0.14760059255712332,DOTA 2
244,2015-09-02,712621,67493,No,-0.1602570296647019,-0.11995879676111254,DOTA 2
245,2015-09-03,805198,101465,No,0.12991056957344793,0.5033410872238602,DOTA 2
246,2015-09-04,853017,152886,No,0.05938787726745476,0.5067855910905239,DOTA 2
247,2015-09-05,888728,162745,No,0.041864347369395816,0.06448595685674285,DOTA 2
248,2015-09-06,872955,137048,No,-0.01774783735856189,-0.1578973240345326,DOTA 2
249,2015-09-07,808091,75766,No,-0.07430394464777679,-0.4471572003969412,DOTA 2
250,2015-09-08,794153,57850,No,-0.017248057458875254,-0.23646490510255258,DOTA 2
251,2015-09-09,779742,71273,No,-0.01814637733534974,0.2320311149524632,DOTA 2
252,2015-09-10,741933,66190,No,-0.04848911563055469,-0.07131732914287314,DOTA 2
253,2015-09-11,816490,80795,No,0.10049020598895053,0.2206526665659465,DOTA 2
254,2015-09-12,863533,68077,No,0.057616137368492026,-0.15741073086205826,DOTA 2
255,2015-09-13,887735,95823,No,0.02802672277724194,0.40756790105321916,DOTA 2
256,2015-09-14,804409,96726,No,-0.09386359668144206,0.009423624808240216,DOTA 2
257,2015-09-15,797276,67141,No,-0.008867379653882512,-0.3058639869321589,DOTA 2
258,2015-09-16,788458,47331,No,-0.011060159844269779,-0.2950507141686898,DOTA 2
259,2015-09-17,780077,58717,No,-0.010629608679219471,0.24056115442310544,DOTA 2
260,2015-09-18,843743,74378,No,0.08161502005571242,0.26672002997428335,DOTA 2
261,2015-09-19,854655,72185,No,0.012932848035480005,-0.029484524993949823,DOTA 2
262,2015-09-20,727645,94976,No,-0.14860967290895155,0.31573041490614395,DOTA 2
263,2015-09-21,759409,99137,No,0.043653155041263325,0.04381106805929913,DOTA 2
264,2015-09-22,777899,173445,No,0.024347881049605613,0.7495486044564592,DOTA 2
265,2015-09-23,675559,146077,No,-0.13155949551291368,-0.15779065409784077,DOTA 2
266,2015-09-24,790979,141326,No,0.17085110256839142,-0.03252394285205751,DOTA 2
267,2015-09-25,830620,112087,No,0.05011637477101161,-0.20689045186306831,DOTA 2
268,2015-09-26,869752,87453,No,0.047111796007801354,-0.2197757099396005,DOTA 2
269,2015-09-27,861278,156243,No,-0.009743007202053011,0.786593941888786,DOTA 2
270,2015-09-28,785665,116515,No,-0.08779163057688688,-0.2542705913224913,DOTA 2
271,2015-09-29,793599,129978,No,0.010098451630147665,0.11554735441788622,DOTA 2
272,2015-09-30,794067,132334,No,0.0005897184850283121,0.01812614442444116,DOTA 2
273,2015-10-01,783710,102081,No,-0.01304298000042814,-0.2286109389877129,DOTA 2
274,2015-10-02,806087,57956,No,0.028552653404958495,-0.43225477806839663,DOTA 2
275,2015-10-03,806902,158949,No,0.0010110571191446205,1.7425805783697976,DOTA 2
276,2015-10-04,846506,192056,No,0.049081548936549924,0.2082869348029872,DOTA 2
277,2015-10-05,741110,158399,No,-0.12450709150319073,-0.17524576165285122,DOTA 2
278,2015-10-06,784148,94008,No,0.058072350933059846,-0.40651140474371683,DOTA 2
279,2015-10-07,769463,141936,No,-0.018727332085269666,0.5098289507275977,DOTA 2
280,2015-10-08,774094,66466,No,0.006018483019976317,-0.53171852102356,DOTA 2
281,2015-10-09,807696,133528,No,0.043408164899870094,1.0089669906418317,DOTA 2
282,2015-10-10,891315,170664,No,0.103527812444286,0.2781139536277035,DOTA 2
283,2015-10-11,871013,187973,No,-0.02277758143866082,0.10142150658604043,DOTA 2
284,2015-10-12,777595,189624,No,-0.10725213056521543,0.008783176307235685,DOTA 2
285,2015-10-13,789560,168301,No,0.015387187417614578,-0.11244884613761974,DOTA 2
286,2015-10-14,781300,114114,No,-0.010461522873499218,-0.3219648130432974,DOTA 2
287,2015-10-15,775912,129824,No,-0.006896198643286833,0.1376693481956639,DOTA 2
288,2015-10-16,838099,64564,No,0.08014697543020333,-0.5026805521321174,DOTA 2
289,2015-10-17,886420,65399,No,0.05765547984188024,0.012932903785391137,DOTA 2
290,2015-10-18,877413,60972,No,-0.010161097448162293,-0.06769216654688914,DOTA 2
291,2015-10-19,783032,130560,No,-0.10756735995477618,1.1413107655973231,DOTA 2
292,2015-10-20,788728,99736,No,0.007274287640862687,-0.2360906862745098,DOTA 2
293,2015-10-21,737324,199967,No,-0.06517329167976793,1.0049631025908399,DOTA 2
294,2015-10-22,614219,163882,No,-0.16696187836012388,-0.1804547750378812,DOTA 2
295,2015-10-23,855782,101481,No,0.39328480558237366,-0.3807678695646868,DOTA 2
296,2015-10-24,920726,99588,No,0.07588848561900119,-0.018653738138173614,DOTA 2
297,2015-10-25,880653,123545,No,-0.043523263164068404,0.24056111178053574,DOTA 2
298,2015-10-26,787502,143600,No,-0.10577491929284288,0.1623295155611315,DOTA 2
299,2015-10-27,794911,128958,No,0.009408230074336332,-0.10196378830083563,DOTA 2
300,2015-10-28,794600,85880,No,-0.00039123876761049114,-0.3340467439011151,DOTA 2
301,2015-10-29,807071,131279,No,0.01569468915177441,0.5286329762459245,DOTA 2
302,2015-10-30,812865,101236,No,0.0071790462053524795,-0.228848483001851,DOTA 2
303,2015-10-31,884658,90106,No,0.08832093890129356,-0.10994112766209652,DOTA 2
304,2015-11-01,820301,273776,No,-0.07274788675397725,2.0383770226178055,DOTA 2
305,2015-11-02,804955,123714,No,-0.018707767026981514,-0.5481196306469522,DOTA 2
306,2015-11-03,807035,104424,No,0.002583995378623749,-0.15592414763082596,DOTA 2
307,2015-11-04,827611,120123,No,0.025495796340927024,0.15033900252815435,DOTA 2
308,2015-11-05,812189,113304,No,-0.01863435841234584,-0.05676681401563399,DOTA 2
309,2015-11-06,862751,149603,No,0.062253982755245296,0.320368212949234,DOTA 2
310,2015-11-07,936435,101705,No,0.08540587029166002,-0.32016737632266734,DOTA 2
