"DateTime","Players","Players Trend","Twitch Viewers"
"2020-12-30 15:40:00",86653,90028.46335755973,307
"2020-12-30 15:50:00",86808,90098.65846960686,233
"2020-12-30 16:00:00",86585,90169.15745787906,231
"2020-12-30 16:10:00",86946,90242.0994108578,221
"2020-12-30 16:20:00",87156,90313.2593739676,240
"2020-12-30 16:30:00",87043,90376.15527612595,241
"2020-12-30 16:40:00",87199,90433.96066650146,234
"2020-12-30 16:50:00",85740,90487.02479077192,212
"2020-12-30 17:00:00",85284,90551.06669832615,271
"2020-12-30 17:10:00",85266,90620.08429000108,268
"2020-12-30 17:20:00",86268,90693.35059464815,244
"2020-12-30 17:30:00",86832,90762.41961237746,263
"2020-12-30 17:40:00",88066,90827.84748375727,253
"2020-12-30 17:50:00",89033,90887.66240639794,309
"2020-12-30 18:00:00",89722,90942.8940782953,417
"2020-12-30 18:10:00",90658,90994.80429605767,487
"2020-12-30 18:20:00",91322,91042.60490309434,461
"2020-12-30 18:30:00",91802,91088.79627106042,445
"2020-12-30 18:40:00",92417,91133.86371269681,476
"2020-12-30 18:50:00",92781,91179.6944306794,508
"2020-12-30 19:00:00",93303,91227.75171374295,516
"2020-12-30 19:10:00",93288,91487.25658655431,623
"2020-12-30 19:20:00",93797,91538.5779512168,668
"2020-12-30 19:30:00",93730,91591.5407719414,734
"2020-12-30 19:40:00",93812,91645.5639866204,725
"2020-12-30 19:50:00",93877,91702.69953749585,760
"2020-12-30 20:00:00",93035,91758.39123582201,560
"2020-12-30 20:10:00",92606,91816.76775685493,655
"2020-12-30 20:20:00",92539,91875.29119865652,675
"2020-12-30 20:30:00",91368,91932.48176825236,620
"2020-12-30 20:40:00",92572,91996.27671098996,651
"2020-12-30 20:50:00",92409,92052.63165537934,619
"2020-12-30 21:00:00",92860,92110.33493007376,626
"2020-12-30 21:10:00",92240,92166.36519243474,615
"2020-12-30 21:20:00",91983,92221.54964348637,642
"2020-12-30 21:30:00",91822,92280.80663610835,515
"2020-12-30 21:40:00",91894,92341.10883300296,462
"2020-12-30 21:50:00",92663,92402.98922888449,436
"2020-12-30 22:00:00",93122,92464.5657003634,438
"2020-12-30 22:10:00",93868,92526.87849631098,487
"2020-12-30 22:20:00",94045,92586.12807647836,490
"2020-12-30 22:30:00",93038,92643.85184038102,485
"2020-12-30 22:40:00",90610,92701.18576560952,487
"2020-12-30 22:50:00",90385,92770.88056106158,494
"2020-12-30 23:00:00",90358,92840.5781645744,462
"2020-12-30 23:10:00",89896,92905.66204850787,544
"2020-12-30 23:20:00",89617,92967.4207273428,618
"2020-12-30 23:30:00",89443,93029.6160389825,656
"2020-12-30 23:40:00",89442,93093.33193618544,600
"2020-12-30 23:50:00",88332,93156.89042368683,653
"2020-12-31 00:00:00",88234,93220.14162124216,601
"2020-12-31 00:10:00",88201,93281.63629418565,600
"2020-12-31 00:20:00",88557,93342.31303683516,527
"2020-12-31 00:30:00",88496,93396.28574771502,547
"2020-12-31 00:40:00",88407,93447.78139109131,601
"2020-12-31 00:50:00",88645,93499.14577139085,511
"2020-12-31 01:00:00",88784,93549.87838619098,495
"2020-12-31 01:10:00",88987,93599.33137870283,533
"2020-12-31 01:20:00",89630,93655.85964513825,545
"2020-12-31 01:30:00",89963,93706.56671897371,585
"2020-12-31 01:40:00",90257,93755.25493475393,586
"2020-12-31 01:50:00",90356,93796.67778190732,499
"2020-12-31 02:00:00",90572,93838.48284192274,496
"2020-12-31 02:10:00",90939,93879.31534935586,547
"2020-12-31 02:20:00",91420,93917.86956282354,696
"2020-12-31 02:30:00",91504,93953.91067200757,745
"2020-12-31 02:40:00",91470,93989.02823202297,804
"2020-12-31 02:50:00",90797,94022.27832149548,855
"2020-12-31 03:00:00",90659,94053.24640045155,775
"2020-12-31 03:10:00",90070,94081.51528603684,820
"2020-12-31 03:20:00",89839,94106.75050930519,860
"2020-12-31 03:30:00",88475,94128.723027475,855
"2020-12-31 03:40:00",87682,94155.88133878433,932
"2020-12-31 03:50:00",87089,94190.53622949019,902
"2020-12-31 04:00:00",86244,94227.86908104838,864
"2020-12-31 04:10:00",85578,94271.5495264839,847
"2020-12-31 04:20:00",85080,94318.04435772497,805
"2020-12-31 04:30:00",84316,94366.07512939107,812
"2020-12-31 04:40:00",83754,94416.50205098561,824
"2020-12-31 04:50:00",83363,94467.71176770183,742
"2020-12-31 05:00:00",82931,94517.2105839115,770
"2020-12-31 05:10:00",82274,94566.86549526488,725
"2020-12-31 05:20:00",81807,94616.13864111887,359
"2020-12-31 05:30:00",81604,94667.54111606657,355
"2020-12-31 05:40:00",81742,94714.3023414272,332
"2020-12-31 05:50:00",82141,94759.57941030727,343
"2020-12-31 06:00:00",81555,94800.79724837578,324
"2020-12-31 06:10:00",81340,94835.93407251408,289
"2020-12-31 06:20:00",83447,94877.11852356572,265
"2020-12-31 06:30:00",83739,94910.5002753001,276
"2020-12-31 06:40:00",83882,94940.35950748819,269
"2020-12-31 06:50:00",83837,94962.80547296556,264
"2020-12-31 07:00:00",83908,94991.59022960029,259
"2020-12-31 07:10:00",83103,95020.16116066514,256
"2020-12-31 07:20:00",82788,95053.7503028301,238
"2020-12-31 07:30:00",82443,95089.19656425506,235
"2020-12-31 07:40:00",81947,95128.54048975886,231
"2020-12-31 07:50:00",81693,95170.7652585068,233
"2020-12-31 08:00:00",81394,95214.68946151307,251
"2020-12-31 08:10:00",80703,95258.08763489706,247
"2020-12-31 08:20:00",80494,95302.55781989872,228
"2020-12-31 08:30:00",80269,95347.85305170139,212
"2020-12-31 08:40:00",80383,95393.8735064971,174
"2020-12-31 08:50:00",80277,95438.4452978747,167
"2020-12-31 09:00:00",80048,95480.5359541901,178
"2020-12-31 09:10:00",79969,95521.89045121684,172
"2020-12-31 09:20:00",80521,95561.50433597623,154
"2020-12-31 09:30:00",80516,95600.65595061118,155
"2020-12-31 09:40:00",80991,95640.08111028522,146
"2020-12-31 09:50:00",81871,95677.84526759168,117
"2020-12-31 10:00:00",82224,95712.31937561942,113
"2020-12-31 10:10:00",83963,95750.54978801892,113
"2020-12-31 10:20:00",86031,95787.3043235877,108
"2020-12-31 10:30:00",86918,95817.77838343792,115
"2020-12-31 10:40:00",87594,95844.123286257,122
"2020-12-31 10:50:00",88713,95869.45624105273,117
"2020-12-31 11:00:00",89027,95891.10117966082,123
"2020-12-31 11:10:00",89261,95912.82965119478,134
"2020-12-31 11:20:00",89283,95932.25739180706,134
"2020-12-31 11:30:00",89671,95951.54556904525,179
"2020-12-31 11:40:00",90167,95985.45654388281,209
"2020-12-31 11:50:00",90541,96018.56894202178,196
"2020-12-31 12:00:00",90466,96051.15029319457,184
"2020-12-31 12:10:00",90853,96085.6833292038,191
"2020-12-31 12:20:00",91354,96122.79885199867,195
"2020-12-31 12:30:00",90757,96156.30645028078,184
"2020-12-31 12:40:00",92748,96196.97397726019,186
"2020-12-31 12:50:00",93347,96232.42983977534,211
"2020-12-31 13:00:00",93333,96264.90798783171,183
"2020-12-31 13:10:00",93890,96298.12466963989,200
"2020-12-31 13:20:00",95010,96331.94000523069,208
"2020-12-31 13:30:00",96106,96366.08643045917,235
"2020-12-31 13:40:00",97976,96401.25638696177,215
"2020-12-31 13:50:00",99377,96410.9193301949,219
